,Date,End Score Diff,Map,Match ID,Team 1 ID,Team 2 ID,Winner,Recent Matches Score Difference,Past Encounters Score Difference,Common Opponents Average Score difference,Map Score Difference,Winner(predicted),Predicted Probability 0,Predicted Probability 1
38977,2018-02-03 00:00:00,12,Mirage,2319025,4494,7532,1,1.7977074012136365,1.1064866669398783,0.0509319304483455,0.12498185109634588,1,0.2984570060624453,0.7015429939375547
38979,2018-02-02 00:00:00,7,Train,2318900,6947,7314,1,1.2053221507534293,0.6159446540770285,2.697271563401772,0.4008060260850894,1,0.18583500699370203,0.814164993006298
38983,2018-02-02 00:00:00,8,Cache,2318959,8574,8051,1,1.3745750794563456,0.6159446540770285,0.11293333888264734,0.6333615159584421,1,0.3256044600723863,0.6743955399276137
38986,2018-02-03 00:00:00,-5,Inferno,2318996,7713,4674,0,0.6129369002932217,0.5125737318262366,-0.14391658259917592,-0.11602480437389841,1,0.40340454261125225,0.5965954573887478
38987,2018-02-03 00:00:00,-5,Overpass,2318996,7713,4674,0,0.7821898289961384,0.35544993000503255,-0.14391658259917592,-0.4355284147059641,1,0.41870051325040736,0.5812994867495926
38993,2018-02-03 00:00:00,-2,Cobblestone,2319029,5991,4608,0,-0.06407481451844384,-0.4442899371593971,-0.06663262783610402,0.18675464329503388,1,0.48478321017232373,0.5152167898276763
38994,2018-02-03 00:00:00,-8,Overpass,2319029,5991,4608,0,-0.2333277432213601,-0.44533014769776974,-0.06663262783610402,-0.6646280164315908,0,0.520735045970752,0.479264954029248
38995,2018-02-02 00:00:00,6,Mirage,2318927,8120,6902,1,1.9669603299165532,-1.1516981164115154,-0.014308767292785268,0.37261748185801646,1,0.44525409505674973,0.5547459049432503
38996,2018-02-02 00:00:00,3,Overpass,2318927,8120,6902,1,2.13621325861947,-0.43843875288105033,-0.014308767292785268,-0.3585228840316917,1,0.41073992315660623,0.5892600768433938
38999,2018-02-03 00:00:00,-5,Mirage,2318997,4674,7865,0,-0.4025806719242768,0.5694277390641721,-0.35012553704790744,-0.6750870555108095,1,0.4742494614084195,0.5257505385915805
39000,2018-02-03 00:00:00,9,Inferno,2318997,4674,7865,1,-0.48720713627573475,0.24380933397417714,-0.35012553704790744,-0.2547646190114652,1,0.4876725738810146,0.5123274261189854
39001,2018-02-03 00:00:00,-14,Nuke,2318997,4674,7865,0,0.2744310428873892,0.46088827070084043,-0.35012553704790744,0.3820387867467439,1,0.41958512674014825,0.5804148732598517
39006,2018-02-03 00:00:00,2,Cache,2318990,6211,6673,1,-0.14870127886990173,-0.10971922012353164,0.14503787637529256,0.5128374198080723,1,0.4358634112088554,0.5641365887911446
39007,2018-02-03 00:00:00,14,Inferno,2318990,6211,6673,1,-0.14870127886990173,-0.09288452707125978,0.14503787637529256,-0.06304434795705204,1,0.45402131724869943,0.5459786827513006
39008,2018-02-02 00:00:00,-8,Cache,2318971,6418,6417,0,0.18980457853593083,0.24380933397417714,0.08024062403929293,0.6783722559339299,1,0.3963098443076314,0.6036901556923686
39009,2018-02-01 00:00:00,-6,Overpass,2318935,5479,7616,0,-0.4025806719242768,0.33684316399989,-0.4945639931455824,-0.38101153880108496,1,0.4928864363784744,0.5071135636215256
39010,2018-02-02 00:00:00,14,Train,2318989,5973,6290,1,1.2053221507534293,-0.105067528622246,-0.22189763812845012,-0.1531417477468986,1,0.4321725378117244,0.5678274621882756
39011,2018-02-02 00:00:00,13,Mirage,2318989,5973,6290,1,2.3900926516738448,-0.05238000243421473,-0.22189763812845012,0.0811154786569406,1,0.37459170298766364,0.6254082970123364
39013,2018-02-03 00:00:00,12,Nuke,2319014,7489,7911,1,0.18980457853593083,0.4298769940256028,1.158139623475219,0.6726241311318655,1,0.30727679119175577,0.6927232088082442
39014,2018-02-02 00:00:00,13,Inferno,2318939,5752,7726,1,1.2899486151048878,1.2671814642570185,1.8186622264483652,-0.11174421101937385,1,0.2073281959576747,0.7926718040423253
39015,2018-02-02 00:00:00,2,Mirage,2318811,7924,6673,1,1.7130809368621787,-0.0042808794277237544,-0.018901508558124166,0.18705526242637605,1,0.37865233332058246,0.6213476666794175
39016,2018-02-02 00:00:00,-8,Inferno,2318811,7924,6673,0,0.69756336464468,0.05774167392275148,-0.018901508558124166,0.29333109904812166,1,0.4100202985305109,0.5899797014694891
39017,2018-02-02 00:00:00,-5,Cache,2318811,7924,6673,0,0.6129369002932221,-0.27718011416981475,-0.018901508558124166,0.18708560894528048,1,0.4413994640583213,0.5586005359416787
39023,2018-02-02 00:00:00,8,Cache,2318995,7865,4501,1,-0.2333277432213601,0.8950461441541672,0.2990425129010381,-0.2211792791242899,1,0.3792144637234367,0.6207855362765633
39024,2018-02-02 00:00:00,12,Train,2318995,7865,4501,1,0.4436839715903055,1.050102527530355,0.2990425129010381,0.27161022532697565,1,0.32824491019743096,0.671755089802569
39025,2018-02-01 00:00:00,8,Inferno,2318810,6211,7157,1,0.9514427576990547,0.7089784841027413,0.3477505592070842,0.29143447448404547,1,0.32866221018602126,0.6713377898139787
39026,2018-02-01 00:00:00,6,Cache,2318810,6211,7157,1,1.6284544725107202,0.8392258461387394,0.3477505592070842,-0.2616426041019048,1,0.3127312362667998,0.6872687637332002
39027,2018-02-02 00:00:00,9,Mirage,2318940,5752,5479,1,1.5438280081592624,0.47122536292591966,1.147204590863372,0.3078400199249053,1,0.27065060032918054,0.7293493996708195
